Gene,Score
TAS1R3,2.4403631e-05
TAS1R1,8.185169e-06
GABBR2,0.118544996
GABBR1,0.012420978
IL10RB,0.0016345404
GABPB1,0.20790002
GABPA,0.42334127
TNPO1,0.054154586
KIF17,0.0012514216
GSTA1,6.1458304e-05
GSTA2,0.00066123536
GCLC,0.0012322253
GCLM,0.00040624672
INS,0.0048814085
INSR,0.48883533
ABCD2,0.0022282624
ABCD1,0.0007317456
ABCD3,0.0002062
ABCG5,0.07795733
ABCG8,0.0047125956
CHRNB2,8.075381e-05
CHRNA4,0.0006731941
CHRNA3,0.00035410534
CHRNB4,0.00052265637
FOXM1,0.20322503
PLK1,0.049614225
CENPF,0.0036528027
TACR1,0.0019509036
TAC1,0.0017415563
TACR2,0.00035547354
OXTR,0.014499048
OXT,0.0042199017
CRH,0.00038520628
CRHBP,0.0040836283
ADGRE5,0.009247973
CD55,0.004589923
CBY1,0.00047265005
CTNNB1,0.97467303
CTNNBIP1,0.0017186628
CHD8,0.17546155
MCFD2,0.001310567
LMAN1,0.0045329286
TMED10,0.0014556929
TMED2,0.011426011
CD4,0.01793625
LCK,0.7066609
RAB3GAP1,0.00090481783
RAB3GAP2,0.00064330874
NTRK2,0.024914993
BDNF,0.016132297
NTF4,0.0031609447
IL2RB,0.0060596014
JAK1,0.88310045
JAK3,0.012753561
IL2RG,0.21289098
PTK2B,0.24464425
EBI3,0.009358882
IL27,0.00060767354
NECTIN1,0.0015856571
NECTIN3,0.00029670153
NECTIN4,0.00024041676
NECTIN2,0.00042512422
PVR,0.008613482
IL12B,0.0015146176
IL12A,0.00063202035
IL12RB1,0.0031918716
IL12RB2,0.0012220779
JAK2,0.6036448
TLR2,0.522037
TLR1,0.029092481
TLR6,0.007264432
RBPJ,0.13678655
SNW1,0.017860329
NOTCH1,0.65624505
HIF1A,0.97669595
JAG1,0.0055382336
JAG2,0.12796222
CBL,0.9863868
NCAM1,0.08751764
NCAN,0.008409113
COL4A2,0.0006291602
COL4A1,0.0030927295
HLA-C,0.0035751415
B2M,0.0070881518
KIR2DS5,4.2560117e-05
TYROBP,0.00040929913
CLEC5A,0.0022634882
NCR2,0.0071792235
SIRPB1,0.0008333327
TREM1,0.001086455
TREM2,5.0387807e-06
CD300E,0.014829523
CD300LB,0.004191186
GRAP2,0.0037524144
LCP2,0.39328298
SPRY2,0.0044673276
DAB2,0.39710394
LRP2,0.48608068
VAMP7,0.00068202143
AGFG1,0.00039582056
AMPH,0.0030192595
BIN1,0.014595453
SQSTM1,0.025187872
MAP3K3,0.49330214
EIF4EBP1,0.0058940654
EIF4E,0.00044581722
NOTCH2,0.5019904
IL18BP,0.0005251209
IL18,0.052721642
IL18R1,0.023889164
IL15,0.008599922
IL15RA,0.0038090672
IRF3,0.15758143
IRF7,0.4556311
CREBBP,0.99971455
NOTCH3,0.14360015
ELF3,0.09372617
CNTN1,0.037508216
MDK,0.0031073785
DLL1,0.19179861
YBX1,0.00093113235
HEY1,0.018723315
FOXH1,0.0010209418
DRAP1,0.057819624
CDON,4.0540417e-05
BOC,0.0002073488
IL23A,0.0003469182
IL23R,0.00022041691
STAT4,0.60851896
KNG1,0.0006574011
