Gene,Score
TREM2,4.712589e-06
CD300E,0.0004948574
CD300LB,3.5908203e-09
GRAP2,0.0020050367
LCP2,0.04217938
SPRY2,0.00011872501
DAB2,0.014431199
LRP2,0.014020834
VAMP7,0.00026196692
AGFG1,0.00091775536
AMPH,5.5632358e-05
BIN1,0.0074001206
SQSTM1,0.33026278
MAP3K3,0.0070408457
EIF4EBP1,0.0008442613
EIF4E,0.00014204964
NOTCH2,0.0033078333
IL18BP,4.9385802e-05
IL18,3.72754e-05
IL18R1,3.9277882e-05
IL15,0.01906096
IL15RA,0.0024439492
IRF3,0.52726984
IRF7,0.1134397
CREBBP,0.029701488
NOTCH3,0.00076635013
ELF3,2.0995069e-05
CNTN1,0.0019658715
MDK,0.0013681249
DLL1,0.0008640539
YBX1,4.4657685e-05
HEY1,0.0130579965
FOXH1,0.00049344014
DRAP1,0.028429683
CDON,0.02450538
BOC,1.1447964e-06
IL23A,2.0047259e-05
IL23R,0.0062771467
STAT4,0.00015796286
KNG1,0.055484526
C1QBP,0.00022413967
F8,0.0073137404
VWF,0.0016792789
F9,7.975283e-05
F13B,0.00030027435
F13A1,0.015449606
PROC,0.0019718683
PROCR,0.002282864
LY96,0.0017602333
TLR4,0.0042262604
S100A9,0.00045124177
S100A8,0.009754778
JUND,0.011808017
FOSB,0.0031729648
CFB,0.0074270475
C3,9.2026785e-05
CKM,1.9867102e-05
CKB,2.9079945e-05
PRDX6,1.404351e-05
GSTP1,0.015356254
HSF1,0.06458353
HSBP1,1.6299175e-05
YWHAE,0.021043956
CCAR2,0.016722633
SIRT1,0.0038149236
ID1,0.008684216
ETS2,0.0129020475
ERF,0.00050935044
MAP3K5,0.048865225
CDKN2B,0.021343749
CEBPB,0.2030386
CLEC4C,1.6630695e-05
FCER1G,0.0026195352
CLEC4E,3.3751e-05
MAP3K14,0.0020761648
CHUK,0.93754596
NFKB2,0.0881161
RELB,0.022444641
MALT1,0.2315815
CASP8,0.2918475
CD209,0.003929442
ICAM2,0.0007298725
GTSE1,0.00075594353
CDC20,9.254494e-05
MAD2L1,0.062254008
MYC,0.99933004
CDK2,0.104886726
CCNE1,0.005083446
